year,month,year_month,customer_state,customer_region,product_category_name_english,payment_type,delivery_status,total_orders,total_customers,total_items_sold,total_revenue,total_freight,total_payment_value,average_item_price,average_payment_value,average_delivery_days,late_orders,late_delivery_rate
2017,6,2017-06,MG,Southeast,pet_shop,credit_card,On Time,5,5,5,324.61,88.75999999999999,413.37,64.922,82.674,8.2,0,0.0
2018,1,2018-01,MT,Central-West,stationery,boleto,On Time,1,1,1,79.0,19.79,98.79,79.0,98.79,23.0,0,0.0
2018,7,2018-07,SP,Southeast,books_technical,credit_card,Not Delivered,1,1,1,53.99,9.13,63.12,53.99,63.12,null,0,0.0
2018,7,2018-07,RS,South,home_construction,voucher,On Time,1,1,1,79.9,18.66,98.56,79.9,98.56,15.0,0,0.0
2017,12,2017-12,MT,Central-West,bed_bath_table,credit_card,On Time,1,1,4,479.6,80.32,2239.68,119.9,559.92,16.0,0,0.0
2018,2,2018-02,ES,Southeast,food,boleto,On Time,1,1,1,27.9,15.1,43.0,27.9,43.0,21.0,0,0.0
2018,1,2018-01,MT,Central-West,telephony,credit_card,On Time,7,7,8,203.39000000000001,134.31999999999996,408.83000000000004,25.423750000000002,51.103750000000005,16.625,0,0.0
2018,8,2018-08,SP,Southeast,computers_accessories,debit_card,Late,3,3,3,236.3,37.09,273.39,78.76666666666667,91.13,11.0,3,1.0
2018,7,2018-07,PB,Northeast,furniture_decor,credit_card,On Time,2,2,2,282.0,72.67,354.67,141.0,177.335,19.0,0,0.0
2018,7,2018-07,MA,Northeast,computers_accessories,credit_card,Late,2,2,2,98.97999999999999,46.13,145.11,49.489999999999995,72.555,25.0,2,1.0
2017,11,2017-11,MS,Central-West,toys,credit_card,Not Delivered,1,1,1,319.9,16.99,336.89,319.9,336.89,null,0,0.0
2018,4,2018-04,PA,North,cool_stuff,credit_card,Late,2,2,2,169.98,45.31,215.29000000000002,84.99,107.64500000000001,42.0,2,1.0
2017,9,2017-09,MA,Northeast,consoles_games,boleto,On Time,1,1,1,39.9,34.15,74.05,39.9,74.05,17.0,0,0.0
2017,10,2017-10,SP,Southeast,toys,boleto,Late,1,1,1,75.0,7.78,82.78,75.0,82.78,13.0,1,1.0
2017,7,2017-07,RJ,Southeast,garden_tools,boleto,On Time,6,6,6,359.4,106.02000000000001,465.41999999999996,59.9,77.57,15.166666666666666,0,0.0
2017,8,2017-08,SC,South,furniture_decor,credit_card,On Time,4,4,4,298.8,93.03,391.83,74.7,97.9575,12.0,0,0.0
2017,5,2017-05,SP,Southeast,food,boleto,On Time,1,1,1,119.0,13.17,132.17,119.0,132.17,4.0,0,0.0
2018,1,2018-01,RJ,Southeast,party_supplies,credit_card,On Time,1,1,1,67.9,16.73,84.63,67.9,84.63,8.0,0,0.0
2018,4,2018-04,MG,Southeast,food_drink,voucher,On Time,1,1,1,16.0,18.23,34.23,16.0,34.23,7.0,0,0.0
2017,3,2017-03,PI,Northeast,bed_bath_table,credit_card,Late,1,1,3,203.0,93.88,890.67,67.66666666666667,296.89,39.0,3,3.0
2017,11,2017-11,PR,South,sports_leisure,credit_card,Late,3,3,3,343.0,58.44,401.44,114.33333333333333,133.81333333333333,35.333333333333336,3,1.0
2017,8,2017-08,BA,Northeast,construction_tools_safety,credit_card,On Time,1,1,1,8.9,15.79,24.69,8.9,24.69,16.0,0,0.0
2018,2,2018-02,PI,Northeast,health_beauty,credit_card,On Time,3,3,4,1004.78,151.98,1420.7,251.195,355.175,22.5,0,0.0
2017,10,2017-10,ES,Southeast,perfumery,credit_card,On Time,3,3,3,153.79000000000002,44.57,198.36,51.26333333333334,66.12,16.0,0,0.0
2018,1,2018-01,RJ,Southeast,watches_gifts,credit_card,Late,3,3,3,467.6,50.01,517.61,155.86666666666667,172.53666666666666,40.333333333333336,3,1.0
2018,3,2018-03,SP,Southeast,baby,voucher,On Time,1,1,1,48.9,9.26,58.160000000000004,48.9,58.160000000000004,5.0,0,0.0
2018,1,2018-01,RJ,Southeast,stationery,debit_card,On Time,1,1,1,129.0,18.15,147.15,129.0,147.15,20.0,0,0.0
2017,11,2017-11,SE,Northeast,health_beauty,credit_card,Late,2,2,2,719.0,81.09,800.09,359.5,400.045,41.0,2,1.0
2018,3,2018-03,PI,Northeast,perfumery,credit_card,Late,1,1,1,144.56,51.51,196.07,144.56,196.07,32.0,1,1.0
2018,8,2018-08,ES,Southeast,auto,credit_card,On Time,5,5,6,770.58,130.42,1488.0900000000004,128.43,248.01500000000007,7.5,0,0.0
2018,5,2018-05,SP,Southeast,perfumery,credit_card,Late,3,3,3,512.3,57.9,570.2,170.76666666666665,190.0666666666667,23.666666666666668,3,1.0
2018,5,2018-05,PE,Northeast,housewares,boleto,On Time,1,1,1,399.0,24.85,423.85,399.0,423.85,16.0,0,0.0
2017,11,2017-11,RS,South,watches_gifts,boleto,Late,1,1,1,29.0,14.1,43.1,29.0,43.1,26.0,1,1.0
2018,1,2018-01,PE,Northeast,food_drink,credit_card,On Time,1,1,1,25.99,17.63,43.62,25.99,43.62,13.0,0,0.0
2017,2,2017-02,SC,South,housewares,credit_card,On Time,1,1,2,59.8,29.04,177.68,29.9,88.84,12.0,0,0.0
2017,9,2017-09,MT,Central-West,fashion_underwear_beach,boleto,Not Delivered,1,1,1,79.9,18.8,98.7,79.9,98.7,null,0,0.0
2018,5,2018-05,MS,Central-West,cool_stuff,credit_card,On Time,1,1,1,100.0,19.67,119.67,100.0,119.67,15.0,0,0.0
2017,10,2017-10,ES,Southeast,computers_accessories,boleto,On Time,4,4,4,131.22,65.09,196.31,32.805,49.0775,16.25,0,0.0
2018,4,2018-04,PA,North,health_beauty,boleto,Not Delivered,1,1,1,120.0,55.1,175.1,120.0,175.1,null,0,0.0
2018,3,2018-03,BA,Northeast,electronics,credit_card,Late,3,3,5,227.5,91.13999999999999,498.40000000000003,45.5,99.68,32.8,5,1.6666666666666667
2017,7,2017-07,MG,Southeast,null,boleto,On Time,3,3,3,98.22999999999999,39.32,137.55,32.74333333333333,45.85,7.0,0,0.0
2018,3,2018-03,SP,Southeast,luggage_accessories,credit_card,On Time,17,17,19,2347.2699999999995,367.19,3430.98,123.54052631578945,180.5778947368421,7.631578947368421,0,0.0
2017,10,2017-10,MS,Central-West,housewares,boleto,On Time,1,1,1,25.0,15.1,40.1,25.0,40.1,13.0,0,0.0
2018,8,2018-08,RJ,Southeast,furniture_living_room,voucher,On Time,1,1,1,85.8,16.79,102.59,85.8,102.59,10.0,0,0.0
2017,6,2017-06,RJ,Southeast,musical_instruments,credit_card,On Time,1,1,1,419.9,23.43,443.33,419.9,443.33,9.0,0,0.0
2018,1,2018-01,RS,South,cool_stuff,credit_card,Late,1,1,1,460.0,47.68,507.68,460.0,507.68,32.0,1,1.0
2018,3,2018-03,SC,South,watches_gifts,credit_card,Late,4,4,4,526.79,75.96000000000001,602.75,131.6975,150.6875,29.25,4,1.0
2017,2,2017-02,SP,Southeast,cool_stuff,credit_card,On Time,15,15,15,2842.8300000000004,267.49,3110.3200000000006,189.52200000000002,207.3546666666667,9.4,0,0.0
2018,4,2018-04,MG,Southeast,health_beauty,boleto,On Time,11,11,12,1234.98,217.55,1720.0500000000002,102.915,143.3375,9.583333333333334,0,0.0
2017,10,2017-10,SP,Southeast,tablets_printing_image,boleto,On Time,1,1,1,99.0,12.19,111.19,99.0,111.19,14.0,0,0.0
2018,3,2018-03,BA,Northeast,computers_accessories,boleto,On Time,5,5,9,869.41,206.53,2438.2999999999997,96.60111111111111,270.9222222222222,16.88888888888889,0,0.0
2017,12,2017-12,ES,Southeast,flowers,credit_card,On Time,1,1,1,59.9,14.17,74.07,59.9,74.07,11.0,0,0.0
2017,2,2017-02,BA,Northeast,air_conditioning,credit_card,On Time,2,2,2,375.8,60.72,436.52,187.9,218.26,26.5,0,0.0
2018,7,2018-07,SP,Southeast,housewares,credit_card,Late,7,7,7,2416.8699999999994,200.89999999999998,2617.77,345.2671428571428,373.96714285714285,11.0,7,1.0
2017,12,2017-12,MG,Southeast,consoles_games,credit_card,On Time,7,7,7,772.79,119.03,891.82,110.39857142857143,127.40285714285714,13.571428571428571,0,0.0
2017,7,2017-07,MG,Southeast,perfumery,boleto,On Time,2,2,2,416.99,31.42,448.40999999999997,208.495,224.20499999999998,11.0,0,0.0
2018,1,2018-01,MG,Southeast,baby,credit_card,On Time,20,20,21,1874.1700000000003,353.59,2551.7199999999993,89.24619047619049,121.51047619047615,12.952380952380953,0,0.0
2018,2,2018-02,PR,South,small_appliances,boleto,On Time,1,1,1,1899.05,82.17,1981.22,1899.05,1981.22,17.0,0,0.0
2018,5,2018-05,SP,Southeast,industry_commerce_and_business,boleto,On Time,3,3,4,271.0,47.64,416.94,67.75,104.235,6.0,0,0.0
2018,5,2018-05,RS,South,electronics,boleto,On Time,6,6,6,281.4,106.10000000000001,387.5,46.9,64.58333333333333,14.5,0,0.0
2018,4,2018-04,BA,Northeast,telephony,credit_card,On Time,4,4,5,174.95,110.33,384.38,34.989999999999995,76.876,17.2,0,0.0
2017,8,2017-08,SC,South,pet_shop,credit_card,On Time,4,4,4,363.88,66.43,430.30999999999995,90.97,107.57749999999999,11.25,0,0.0
2017,6,2017-06,PR,South,computers_accessories,credit_card,On Time,6,6,7,826.54,116.08999999999997,1056.01,118.07714285714285,150.85857142857142,15.0,0,0.0
2018,2,2018-02,RJ,Southeast,garden_tools,credit_card,Late,9,9,11,1605.0000000000007,301.25,2176.2500000000005,145.90909090909096,197.84090909090912,36.18181818181818,11,1.2222222222222223
2018,1,2018-01,RS,South,home_construction,boleto,On Time,1,1,1,278.25,40.88,319.13,278.25,319.13,20.0,0,0.0
2018,8,2018-08,SP,Southeast,arts_and_craftmanship,boleto,On Time,1,1,1,11.9,12.79,24.69,11.9,24.69,5.0,0,0.0
2017,1,2017-01,SP,Southeast,books_general_interest,boleto,On Time,1,1,1,124.99,19.15,144.14,124.99,144.14,10.0,0,0.0
2017,12,2017-12,SP,Southeast,small_appliances,boleto,On Time,4,4,4,1054.3899999999999,94.55000000000001,1148.94,263.59749999999997,287.235,12.0,0,0.0
2017,10,2017-10,RS,South,perfumery,voucher,On Time,1,1,1,56.99,14.15,71.14,56.99,71.14,21.0,0,0.0
2018,2,2018-02,RJ,Southeast,auto,boleto,Late,2,2,2,35.9,31.21,67.11,17.95,33.555,62.5,2,1.0
2017,12,2017-12,RJ,Southeast,baby,credit_card,Late,8,8,8,784.58,135.51,920.09,98.0725,115.01125,43.625,8,1.0
2018,7,2018-07,PR,South,musical_instruments,credit_card,On Time,1,1,1,247.88,16.19,264.07,247.88,264.07,6.0,0,0.0
2017,4,2017-04,MG,Southeast,telephony,voucher,On Time,1,1,1,49.99,14.52,64.51,49.99,64.51,9.0,0,0.0
2017,10,2017-10,BA,Northeast,office_furniture,boleto,Late,1,1,1,169.99,51.06,221.05,169.99,221.05,83.0,1,1.0
2017,12,2017-12,GO,Central-West,electronics,credit_card,On Time,1,1,1,18.9,34.15,53.05,18.9,53.05,12.0,0,0.0
2017,10,2017-10,BA,Northeast,toys,boleto,On Time,1,1,1,29.0,16.79,45.79,29.0,45.79,13.0,0,0.0
2017,7,2017-07,SP,Southeast,stationery,boleto,Late,1,1,1,39.9,15.1,55.0,39.9,55.0,23.0,1,1.0
2018,5,2018-05,RJ,Southeast,furniture_decor,credit_card,Not Delivered,4,4,6,409.63,100.04,1057.8899999999999,68.27166666666666,176.31499999999997,null,0,0.0
2017,11,2017-11,SP,Southeast,home_comfort_2,voucher,Late,1,1,1,12.9,11.85,24.75,12.9,24.75,20.0,1,1.0
2018,1,2018-01,MG,Southeast,computers_accessories,boleto,On Time,19,19,26,3463.9700000000003,517.9000000000001,10351.909999999998,133.22961538461539,398.15038461538455,11.5,0,0.0
2017,8,2017-08,TO,North,watches_gifts,credit_card,On Time,2,2,2,91.83,61.39,153.22,45.915,76.61,14.5,0,0.0
2017,11,2017-11,SP,Southeast,furniture_decor,voucher,Not Delivered,2,2,2,174.89,46.92,221.81,87.445,110.905,null,0,0.0
2018,1,2018-01,SP,Southeast,null,voucher,On Time,3,3,4,367.9,56.11,461.23,91.975,115.3075,7.25,0,0.0
2018,6,2018-06,MS,Central-West,telephony,boleto,On Time,1,1,1,99.0,15.79,114.79,99.0,114.79,16.0,0,0.0
2017,4,2017-04,DF,Central-West,null,credit_card,On Time,2,2,2,61.9,32.1,94.0,30.95,47.0,13.5,0,0.0
2017,7,2017-07,SP,Southeast,auto,boleto,Not Delivered,1,1,1,27.99,7.78,35.77,27.99,35.77,null,0,0.0
2017,9,2017-09,SP,Southeast,dvds_blu_ray,voucher,On Time,1,1,1,19.9,25.63,45.53,19.9,45.53,10.0,0,0.0
2018,2,2018-02,RJ,Southeast,housewares,voucher,On Time,2,2,2,109.08000000000001,30.48,139.56,54.540000000000006,69.78,13.5,0,0.0
2017,9,2017-09,BA,Northeast,cool_stuff,boleto,Late,1,1,1,149.99,19.29,169.28,149.99,169.28,32.0,1,1.0
2018,2,2018-02,SP,Southeast,furniture_mattress_and_upholstery,credit_card,Late,1,1,1,75.0,42.76,117.76,75.0,117.76,35.0,1,1.0
2018,2,2018-02,RJ,Southeast,consoles_games,credit_card,Late,2,2,2,789.79,40.67,830.4599999999999,394.895,415.22999999999996,39.0,2,1.0
2017,8,2017-08,AL,Northeast,furniture_decor,credit_card,On Time,1,1,1,179.9,59.7,239.6,179.9,239.6,15.0,0,0.0
2018,8,2018-08,MA,Northeast,health_beauty,credit_card,On Time,2,2,2,101.49,36.17,137.66,50.745,68.83,7.0,0,0.0
2018,3,2018-03,SP,Southeast,costruction_tools_garden,boleto,On Time,1,1,1,410.0,16.96,426.96,410.0,426.96,6.0,0,0.0
2017,7,2017-07,PR,South,furniture_decor,voucher,On Time,1,1,1,35.4,16.6,52.0,35.4,52.0,11.0,0,0.0
2018,2,2018-02,GO,Central-West,consoles_games,credit_card,On Time,1,1,1,119.9,15.59,135.49,119.9,135.49,11.0,0,0.0
2018,4,2018-04,MT,Central-West,drinks,credit_card,On Time,1,1,1,19.49,22.06,41.55,19.49,41.55,11.0,0,0.0
2018,3,2018-03,SP,Southeast,pet_shop,debit_card,On Time,1,1,1,94.9,19.63,114.53,94.9,114.53,16.0,0,0.0
2017,2,2017-02,PI,Northeast,garden_tools,credit_card,On Time,1,1,1,1099.0,47.2,1146.2,1099.0,1146.2,23.0,0,0.0
2017,2,2017-02,MG,Southeast,tablets_printing_image,credit_card,On Time,1,1,1,99.0,14.86,113.86,99.0,113.86,15.0,0,0.0
2017,12,2017-12,PE,Northeast,electronics,credit_card,On Time,1,1,1,92.0,17.92,109.92,92.0,109.92,9.0,0,0.0
2018,1,2018-01,PI,Northeast,costruction_tools_garden,credit_card,On Time,2,2,2,104.4,109.67,214.07000000000002,52.2,107.03500000000001,13.0,0,0.0
2016,10,2016-10,MT,Central-West,auto,credit_card,Not Delivered,1,1,1,279.99,121.2,401.19,279.99,401.19,null,0,0.0
2017,10,2017-10,PA,North,garden_tools,credit_card,On Time,3,3,8,479.19999999999993,230.55999999999997,2661.5999999999995,59.89999999999999,332.69999999999993,23.875,0,0.0
2017,1,2017-01,MA,Northeast,sports_leisure,credit_card,On Time,1,1,1,72.9,26.77,99.67,72.9,99.67,14.0,0,0.0
2017,7,2017-07,SP,Southeast,cds_dvds_musicals,boleto,On Time,1,1,1,45.0,9.94,54.94,45.0,54.94,15.0,0,0.0
2018,1,2018-01,CE,Northeast,furniture_decor,boleto,Not Delivered,1,1,1,279.9,26.41,306.31,279.9,306.31,null,0,0.0
2018,3,2018-03,MG,Southeast,sports_leisure,credit_card,On Time,48,47,52,4823.59,1066.6400000000006,6631.620000000001,92.76134615384616,127.53115384615386,13.26923076923077,0,0.0
2017,11,2017-11,SP,Southeast,home_construction,credit_card,On Time,11,11,13,1358.7999999999997,223.60999999999996,1877.3100000000002,104.5230769230769,144.40846153846155,10.23076923076923,0,0.0
2018,4,2018-04,MG,Southeast,computers_accessories,boleto,On Time,14,14,14,2692.1800000000003,356.40999999999997,3048.59,192.29857142857145,217.7564285714286,11.785714285714286,0,0.0
2018,5,2018-05,MG,Southeast,sports_leisure,credit_card,On Time,41,40,42,4504.36,905.7700000000001,5615.960000000001,107.24666666666666,133.71333333333337,10.238095238095237,0,0.0
2018,6,2018-06,MG,Southeast,furniture_decor,credit_card,On Time,19,19,27,3523.690000000001,946.7900000000003,6975.209999999999,130.50703703703707,258.3411111111111,9.222222222222221,0,0.0
2017,6,2017-06,RS,South,health_beauty,credit_card,On Time,8,8,9,1070.56,150.11,1516.7899999999997,118.9511111111111,168.5322222222222,9.666666666666666,0,0.0
2018,7,2018-07,ES,Southeast,watches_gifts,debit_card,On Time,2,2,2,432.79999999999995,36.230000000000004,469.03,216.39999999999998,234.515,11.0,0,0.0
2018,5,2018-05,PR,South,housewares,credit_card,On Time,14,14,16,1934.45,306.34999999999997,3103.96,120.903125,193.9975,10.4375,0,0.0
2018,3,2018-03,PB,Northeast,air_conditioning,boleto,On Time,1,1,1,35.9,50.85,86.75,35.9,86.75,16.0,0,0.0
2017,8,2017-08,RJ,Southeast,baby,credit_card,On Time,11,11,14,1501.4900000000002,306.85,2619.1199999999994,107.24928571428573,187.07999999999996,6.571428571428571,0,0.0
2017,7,2017-07,ES,Southeast,watches_gifts,credit_card,On Time,6,6,6,546.99,88.66,635.6500000000001,91.165,105.94166666666668,11.0,0,0.0
2018,4,2018-04,CE,Northeast,toys,credit_card,On Time,1,1,1,249.99,33.55,283.54,249.99,283.54,11.0,0,0.0
2018,8,2018-08,RS,South,housewares,credit_card,On Time,23,23,28,2307.67,791.6999999999998,4253.130000000001,82.41678571428572,151.89750000000004,8.071428571428571,0,0.0
2017,5,2017-05,SP,Southeast,sports_leisure,debit_card,On Time,2,2,2,277.4,30.72,308.12,138.7,154.06,13.5,0,0.0
2018,3,2018-03,SP,Southeast,baby,boleto,On Time,12,12,12,1575.1800000000007,150.48999999999998,1760.39,131.26500000000007,146.69916666666668,9.0,0,0.0
2018,3,2018-03,SP,Southeast,baby,debit_card,On Time,2,2,2,230.0,31.38,261.38,115.0,130.69,10.5,0,0.0
2017,11,2017-11,RJ,Southeast,electronics,credit_card,Late,7,7,7,575.4399999999999,131.08,706.52,82.20571428571428,100.93142857142857,23.714285714285715,7,1.0
2018,8,2018-08,PE,Northeast,office_furniture,debit_card,On Time,1,1,1,299.9,129.74,429.64,299.9,429.64,10.0,0,0.0
2017,9,2017-09,SP,Southeast,stationery,credit_card,On Time,22,22,22,1505.2900000000002,345.46,1850.75,68.42227272727274,84.125,7.363636363636363,0,0.0
2018,2,2018-02,PR,South,auto,voucher,On Time,1,1,1,59.9,17.67,77.57000000000001,59.9,77.57000000000001,13.0,0,0.0
2018,1,2018-01,ES,Southeast,bed_bath_table,credit_card,On Time,10,10,12,938.56,227.05,1450.82,78.21333333333332,120.90166666666666,12.5,0,0.0
2017,3,2017-03,MG,Southeast,stationery,debit_card,On Time,1,1,1,17.99,17.19,35.18,17.99,35.18,13.0,0,0.0
2018,7,2018-07,RJ,Southeast,cool_stuff,voucher,On Time,2,2,2,134.89,26.16,161.05,67.445,80.525,6.5,0,0.0
2018,4,2018-04,SP,Southeast,la_cuisine,credit_card,On Time,1,1,2,280.0,54.12,668.24,140.0,334.12,6.0,0,0.0
2018,4,2018-04,RJ,Southeast,housewares,credit_card,Not Delivered,3,3,3,307.8,80.85,388.65,102.60000000000001,129.54999999999998,null,0,0.0
2018,4,2018-04,RJ,Southeast,food_drink,credit_card,On Time,1,1,1,29.7,16.32,46.02,29.7,46.02,11.0,0,0.0
2018,1,2018-01,RJ,Southeast,perfumery,credit_card,On Time,21,21,23,2227.4500000000003,309.5,3025.92,96.84565217391305,131.56173913043477,8.869565217391305,0,0.0
2017,8,2017-08,RJ,Southeast,consoles_games,credit_card,On Time,10,10,10,1056.57,154.56,1211.1299999999999,105.657,121.11299999999999,11.0,0,0.0
2017,9,2017-09,SP,Southeast,watches_gifts,credit_card,On Time,71,70,78,12132.619999999994,959.3099999999997,17435.06000000001,155.54641025641018,223.52641025641037,6.153846153846154,0,0.0
2017,4,2017-04,MG,Southeast,electronics,credit_card,On Time,3,3,3,306.39,41.31999999999999,347.71000000000004,102.13,115.90333333333335,11.0,0,0.0
2018,1,2018-01,SP,Southeast,musical_instruments,boleto,On Time,5,5,5,346.69,65.2,411.89,69.338,82.378,11.2,0,0.0
2017,2,2017-02,MS,Central-West,bed_bath_table,credit_card,On Time,1,1,1,80.99,22.8,103.79,80.99,103.79,23.0,0,0.0
